H 0
CZ 1 0
CZ 2 0
CZ 3 0
CZ 4 0
CZ 5 0
CZ 6 0
CZ 7 0
CZ 8 0
CZ 9 0
CZ 10 0
CZ 11 0
CZ 12 0
CZ 13 0
CZ 14 0
CZ 15 0
CZ 16 0
CZ 17 0
CZ 18 0
CZ 19 0
CZ 20 0
CZ 21 0
CZ 22 0
CZ 23 0
CZ 24 0
CZ 25 0
CZ 26 0
CZ 27 0
CZ 28 0
CZ 29 0
CZ 30 0
CZ 31 0
CZ 32 0
CZ 33 0
CZ 34 0
CZ 35 0
CZ 36 0
CZ 37 0
CZ 38 0
CZ 39 0
H 1
CZ 2 1
CZ 3 1
CZ 4 1
CZ 5 1
CZ 6 1
CZ 7 1
CZ 8 1
CZ 9 1
CZ 10 1
CZ 11 1
CZ 12 1
CZ 13 1
CZ 14 1
CZ 15 1
CZ 16 1
CZ 17 1
CZ 18 1
CZ 19 1
CZ 20 1
CZ 21 1
CZ 22 1
CZ 23 1
CZ 24 1
CZ 25 1
CZ 26 1
CZ 27 1
CZ 28 1
CZ 29 1
CZ 30 1
CZ 31 1
CZ 32 1
CZ 33 1
CZ 34 1
CZ 35 1
CZ 36 1
CZ 37 1
CZ 38 1
CZ 39 1
H 2
CZ 3 2
CZ 4 2
CZ 5 2
CZ 6 2
CZ 7 2
CZ 8 2
CZ 9 2
CZ 10 2
CZ 11 2
CZ 12 2
CZ 13 2
CZ 14 2
CZ 15 2
CZ 16 2
CZ 17 2
CZ 18 2
CZ 19 2
CZ 20 2
CZ 21 2
CZ 22 2
CZ 23 2
CZ 24 2
CZ 25 2
CZ 26 2
CZ 27 2
CZ 28 2
CZ 29 2
CZ 30 2
CZ 31 2
CZ 32 2
CZ 33 2
CZ 34 2
CZ 35 2
CZ 36 2
CZ 37 2
CZ 38 2
CZ 39 2
H 3
CZ 4 3
CZ 5 3
CZ 6 3
CZ 7 3
CZ 8 3
CZ 9 3
CZ 10 3
CZ 11 3
CZ 12 3
CZ 13 3
CZ 14 3
CZ 15 3
CZ 16 3
CZ 17 3
CZ 18 3
CZ 19 3
CZ 20 3
CZ 21 3
CZ 22 3
CZ 23 3
CZ 24 3
CZ 25 3
CZ 26 3
CZ 27 3
CZ 28 3
CZ 29 3
CZ 30 3
CZ 31 3
CZ 32 3
CZ 33 3
CZ 34 3
CZ 35 3
CZ 36 3
CZ 37 3
CZ 38 3
CZ 39 3
H 4
CZ 5 4
CZ 6 4
CZ 7 4
CZ 8 4
CZ 9 4
CZ 10 4
CZ 11 4
CZ 12 4
CZ 13 4
CZ 14 4
CZ 15 4
CZ 16 4
CZ 17 4
CZ 18 4
CZ 19 4
CZ 20 4
CZ 21 4
CZ 22 4
CZ 23 4
CZ 24 4
CZ 25 4
CZ 26 4
CZ 27 4
CZ 28 4
CZ 29 4
CZ 30 4
CZ 31 4
CZ 32 4
CZ 33 4
CZ 34 4
CZ 35 4
CZ 36 4
CZ 37 4
CZ 38 4
CZ 39 4
H 5
CZ 6 5
CZ 7 5
CZ 8 5
CZ 9 5
CZ 10 5
CZ 11 5
CZ 12 5
CZ 13 5
CZ 14 5
CZ 15 5
CZ 16 5
CZ 17 5
CZ 18 5
CZ 19 5
CZ 20 5
CZ 21 5
CZ 22 5
CZ 23 5
CZ 24 5
CZ 25 5
CZ 26 5
CZ 27 5
CZ 28 5
CZ 29 5
CZ 30 5
CZ 31 5
CZ 32 5
CZ 33 5
CZ 34 5
CZ 35 5
CZ 36 5
CZ 37 5
CZ 38 5
CZ 39 5
H 6
CZ 7 6
CZ 8 6
CZ 9 6
CZ 10 6
CZ 11 6
CZ 12 6
CZ 13 6
CZ 14 6
CZ 15 6
CZ 16 6
CZ 17 6
CZ 18 6
CZ 19 6
CZ 20 6
CZ 21 6
CZ 22 6
CZ 23 6
CZ 24 6
CZ 25 6
CZ 26 6
CZ 27 6
CZ 28 6
CZ 29 6
CZ 30 6
CZ 31 6
CZ 32 6
CZ 33 6
CZ 34 6
CZ 35 6
CZ 36 6
CZ 37 6
CZ 38 6
CZ 39 6
H 7
CZ 8 7
CZ 9 7
CZ 10 7
CZ 11 7
CZ 12 7
CZ 13 7
CZ 14 7
CZ 15 7
CZ 16 7
CZ 17 7
CZ 18 7
CZ 19 7
CZ 20 7
CZ 21 7
CZ 22 7
CZ 23 7
CZ 24 7
CZ 25 7
CZ 26 7
CZ 27 7
CZ 28 7
CZ 29 7
CZ 30 7
CZ 31 7
CZ 32 7
CZ 33 7
CZ 34 7
CZ 35 7
CZ 36 7
CZ 37 7
CZ 38 7
CZ 39 7
H 8
CZ 9 8
CZ 10 8
CZ 11 8
CZ 12 8
CZ 13 8
CZ 14 8
CZ 15 8
CZ 16 8
CZ 17 8
CZ 18 8
CZ 19 8
CZ 20 8
CZ 21 8
CZ 22 8
CZ 23 8
CZ 24 8
CZ 25 8
CZ 26 8
CZ 27 8
CZ 28 8
CZ 29 8
CZ 30 8
CZ 31 8
CZ 32 8
CZ 33 8
CZ 34 8
CZ 35 8
CZ 36 8
CZ 37 8
CZ 38 8
CZ 39 8
H 9
CZ 10 9
CZ 11 9
CZ 12 9
CZ 13 9
CZ 14 9
CZ 15 9
CZ 16 9
CZ 17 9
CZ 18 9
CZ 19 9
CZ 20 9
CZ 21 9
CZ 22 9
CZ 23 9
CZ 24 9
CZ 25 9
CZ 26 9
CZ 27 9
CZ 28 9
CZ 29 9
CZ 30 9
CZ 31 9
CZ 32 9
